rank 70, epoch 1, step 5000 / 14900, train loss 92.76, time 50m 24s
rank 35, epoch 1, step 5000 / 14900, train loss 96.07, time 50m 31s
rank 12, epoch 1, step 5000 / 14900, train loss 753.32, time 50m 31s
rank 22, epoch 1, step 5000 / 14900, train loss 97.07, time 50m 33s
rank 0, epoch 1, step 5000 / 14900, train loss 64.65, time 50m 32s
rank 93, epoch 1, step 5000 / 14900, train loss 185.59, time 50m 49s
rank 79, epoch 1, step 5000 / 14900, train loss 100.14, time 50m 56s
rank 89, epoch 1, step 3000 / 14900, train loss 62.74, time 50m 57s
rank 48, epoch 1, step 5000 / 14900, train loss 194.80, time 51m 1s
rank 59, epoch 1, step 5000 / 14900, train loss 87.72, time 51m 8s
rank 4, epoch 1, step 5000 / 14900, train loss 343.60, time 51m 7s
